team,name,position,matches,goals,assists,status
River Plate,Marcos Acuna ,D,0,0,0,Injured
River Plate,Enzo Diaz,D,0,0,0,Injured
Rosario Central,Jaminton Campaz,M,0,0,0,Injured
Rosario Central,Gasper Duarte,M,0,0,0,Injured
Rosario Central,Carlos Quintana,D,0,0,0,Injured
Rosario Central,Facundo Mallo,M,0,0,0,Injured
Rosario Central,Ignacio Malcorra,M,0,0,0,Injured
Rosario Central,Axel Werner,G,0,0,0,Injured
San Lorenzo,manuel Insaurralde ,M,0,0,0,Injured
San Lorenzo,Gaston Hernandez,D,0,0,0,Injured
San Lorenzo,Nahuel Arias,M,0,0,0,Injured
San Lorenzo,Nahuel Bustos,F,0,0,0,Suspended
Sarmiento,Manuel Monaco,M,0,0,0,Injured
Sarmiento,Emiliano Mendez,M,0,0,0,Injured
Talleres Cordoba,Matias Esquivel,F,0,0,0,Injured
Talleres Cordoba,Valentin Depietri,F,0,0,0,Injured
Tigre,Brian leizza ,M,0,0,0,Injured
Tigre,Florian Monzon,F,0,0,0,Injured
Tigre,Angelo Marchese ,M,0,0,0,Injured
Tigre,Ijiel Protti,F,0,0,0,Injured
Union, Nicolas Orsini,F,0,0,0,Injured
Union, Bruno Pitton,D,0,0,0,Injured
Velez Sarsfield,Alejo Sarco,M,0,0,0,Injured
Velez Sarsfield,Ricardo Centurion,F,0,0,0,Injured
Velez Sarsfield,Yeison Gordillo,M,0,0,0,Injured


